query,clicks,impressions,ctr,position
"whitehouse cosmetology school",0,24,0.00,8.3
"barber school near me",1,23,4.35,3.9
"bella beauty college waco",0,23,0.00,8.1
"face it beauty school",0,23,0.00,6.6
"latin america beauty school",0,23,0.00,9.2
"professional skin care academy",0,23,0.00,16.8
"torito and liza beauty academy",0,23,0.00,5.5
"trendz barber academy",0,23,0.00,15.9
"academy of aesthetics and laser",0,22,0.00,8.4
"avenue five institute austin reviews",0,22,0.00,11.1
"chi lonestar",0,22,0.00,7.9
"dallas skin institute amarillo",0,22,0.00,7.1
"gulf coast barber college",0,22,0.00,9.6
"immaculate cut barber institute",0,22,0.00,8.1
"kalibur barber college",0,22,0.00,7.7
"midland college cosmetology",0,22,0.00,10.6
"milan institute of cosmetology - plano",0,22,0.00,9.3
"tdlr nail salon requirements",0,22,0.00,22.7
"texas fadez barber college oak cliff",0,22,0.00,11.0
"the premium barber academy",0,22,0.00,7.7
"the salon professional academy georgetown reviews",0,22,0.00,10.9
"barber school edinburg tx",0,21,0.00,10.3
"bgm science of beauty and business",0,21,0.00,7.4
"bonjour beauty university",0,21,0.00,4.0
"clarendon college amarillo",0,21,0.00,8.2
"dallas career academy",0,21,0.00,6.9
"dooney's barber and beauty academy",0,21,0.00,12.1
"elle's beauty academy",0,21,0.00,8.8
"epic barber school",0,21,0.00,9.5
"illumination barber school",0,21,0.00,6.4
"mini establishment license texas",0,21,0.00,21.5
"ogle school willowbrook reviews",0,21,0.00,7.5
"aveda institute austin",0,20,0.00,9.3
"college of the mainland cosmetology",0,20,0.00,6.2
"deluxe barber college austin",0,20,0.00,9.3
"flavous beauty academy",0,20,0.00,8.8
"fort bend barber college",0,20,0.00,9.6
"golden touch academy",0,20,0.00,7.9
"grahams barber college",0,20,0.00,7.8
"trimsetters barber academy",1,19,5.26,4.9
"allure academy",0,19,0.00,8.1
"aveda arts & sciences institute dallas reviews",0,19,0.00,9.8
"avenue 5 institute",0,19,0.00,14.2
"barber school mckinney",0,19,0.00,9.1
"cosmetology school huntsville tx",0,19,0.00,10.0
"fademasterz barber academy",0,19,0.00,8.6
"km beauty and barber institute",0,19,0.00,9.2
"mikes barber school",0,19,0.00,9.0
"ogle school - beauty and cosmetology (san antonio) reviews",0,19,0.00,11.1
"ogle willowbrook",0,19,0.00,9.8
"southwest barber institute",0,19,0.00,13.3
"top barber academy",0,19,0.00,8.2
"oz barber and piercing academy",1,18,5.56,8.0
"barber college on bellfort",0,18,0.00,9.1
"bgm science of beauty",0,18,0.00,7.5
"katy esthetician academy",0,18,0.00,7.2
"mca skin care academy",0,18,0.00,7.6
"mei cosmetology",0,18,0.00,6.3
"premier barber school",0,18,0.00,10.7
"ranger cosmetology school",0,18,0.00,7.0
"south plains college cosmetology",0,18,0.00,11.3
"the argyle league",0,18,0.00,9.8
"bladesmith barber college",1,17,5.88,7.5
"align beauty school",0,17,0.00,8.2
"all about beauty academy plano",0,17,0.00,8.0
"chop it up barber college",0,17,0.00,9.1
"htx cuts",0,17,0.00,6.9
"instituto de belleza y arte",0,17,0.00,10.1
"milan cosmetology",0,17,0.00,10.9
"riva institute of cosmetology reviews",0,17,0.00,10.5
"sleeping beauty lash institute & salon llc",0,17,0.00,9.1
"sol barber and styling academy",0,17,0.00,8.4
"aveda nail school",0,16,0.00,52.2
"epic barber college",0,16,0.00,9.6
"hair expressions barber school reviews",0,16,0.00,8.6
"houston training schools",0,16,0.00,17.8
"jn beauty college",0,16,0.00,6.8
"lashing out ink academy",0,16,0.00,9.8
"made men",0,16,0.00,1.0
"most high barber college san antonio",0,16,0.00,6.9
"ogle school - beauty and cosmetology (houston/stafford)",0,16,0.00,8.5
"pipo barber college",0,16,0.00,8.9
"progress beauty college",0,16,0.00,6.8
"pulse academy pittsburg tx",0,16,0.00,6.1
"spc cosmetology",0,16,0.00,7.1
"tdlr test results",0,16,0.00,59.9
"vxo beauty academy reviews",0,16,0.00,10.5
"wichita falls barber academy",0,16,0.00,10.5
"89 beauty school",0,15,0.00,10.5
"anngee's barber academy",0,15,0.00,7.5
"aveda school austin",0,15,0.00,8.4
"avenue five institute",0,15,0.00,22.3
"barber school denton",0,15,0.00,10.3
"beauty school whitehouse tx",0,15,0.00,8.7
"bella cosmetology and barber college greenville reviews",0,15,0.00,7.1
"coastal bend pleasanton tx",0,15,0.00,10.5
"esthetician school in amarillo",0,15,0.00,32.5
"glam beauty academy midland",0,15,0.00,9.5
"glam beauty academy midland tx",0,15,0.00,7.8
"gnu beauty institute",0,15,0.00,7.3
"l makeup institute southlake",0,15,0.00,14.3
"lester beauty academy",0,15,0.00,7.1
"southern fades reviews",0,15,0.00,4.7
"texas cosmetology license",0,15,0.00,34.7
"the hair academy",0,15,0.00,4.3
"wild boar barbershop",0,15,0.00,10.9
"cosmetology school",1,14,7.14,9.3
"all around barber school",0,14,0.00,9.5
"barber college on lancaster road",0,14,0.00,11.3
"barber school el paso",0,14,0.00,36.7
"beauty schools sugar land",0,14,0.00,13.4
"boardroom heights",0,14,0.00,9.9
"bonafide haircut bar",0,14,0.00,6.9
"caviar academy of cosmetology",0,14,0.00,6.9
"clio beauty school",0,14,0.00,1.0
"cosmetology school katy",0,14,0.00,8.4
"design beauty college reviews",0,14,0.00,10.9
"duvalls",0,14,0.00,7.3
"hands on approach",0,14,0.00,9.4
"impact barber academy",0,14,0.00,7.2
"ivy beauty institute frisco",0,14,0.00,9.2
"mancave cutz",0,14,0.00,9.1
"mannequin beauty school",0,14,0.00,9.4
"maverick barber school",0,14,0.00,9.9
"mike's barber school",0,14,0.00,8.1
"nail tech school sugar land",0,14,0.00,10.9
"nova career institute el paso",0,14,0.00,8.1
"ogle school houston",0,14,0.00,11.6
"paul mitchell school",0,14,0.00,15.5
"salon boutique academy reviews",0,14,0.00,11.4
"tdlr cosmetology license",0,14,0.00,33.5
"top secret beauty spa & academy",0,14,0.00,7.6
"versatile barber & beauty academy",0,14,0.00,8.5
"what is the application fee for a mini salon license",0,14,0.00,55.9
"wild boars barbershop reviews",0,14,0.00,10.3
"william barber college",0,14,0.00,10.2
"ogle beauty school",1,13,7.69,10.3
"allure academy henderson tx",0,13,0.00,7.2
"beauty point academy",0,13,0.00,9.6
"beauty schools in waco texas",0,13,0.00,26.1
"cosmetology schools in sugar land tx",0,13,0.00,13.8
"divizion barber co",0,13,0.00,10.4
"empire beauty academy paris tx",0,13,0.00,7.6
"esthetician schools in sugar land tx",0,13,0.00,18.9
"franklin barber institute",0,13,0.00,8.7
"hair schools in sugar land",0,13,0.00,11.3
"image academy reviews",0,13,0.00,9.0
"melluzi academy",0,13,0.00,9.8
"mesa barber college",0,13,0.00,10.0
"mystros barber academy reviews",0,13,0.00,4.5
"pathway vocational academy",0,13,0.00,10.9
"paul mitchell barber school",0,13,0.00,11.2
"private school services carrollton tx",0,13,0.00,28.3
"shampoo license texas",0,13,0.00,28.4
"smokin’ mirrors barbershop reviews",0,13,0.00,9.7
"sugar land hair school",0,13,0.00,12.6
"texas cosmetology license requirements",0,13,0.00,41.8
"whitehouse beauty school",0,13,0.00,8.4
"ys academy",0,13,0.00,5.6
"ys cosmetology academy reviews",0,13,0.00,8.2
"5 star barber academy",0,12,0.00,5.6
"arlington beauty school",0,12,0.00,22.1
"beauty and barber blade market",0,12,0.00,7.9
"beauty school sugar land",0,12,0.00,14.2
"behx beauty school",0,12,0.00,8.4
"bellagio beauty school",0,12,0.00,8.7
"boss nail academy richardson tx",0,12,0.00,5.3
"cosmetology school groveton",0,12,0.00,5.7
"d lash architect",0,12,0.00,9.7
"dapper g barber college",0,12,0.00,8.8
"devida lash academy",0,12,0.00,4.5
"ebony essence school of hair design",0,12,0.00,10.0
"elite beauty academy",0,12,0.00,9.7
"enstyle academy",0,12,0.00,4.3
"expert barber beauty school mckinney",0,12,0.00,7.7
"fade em all barber college",0,12,0.00,5.6
"glam beauty academy odessa",0,12,0.00,9.7
"grayson county college cosmetology",0,12,0.00,7.7
"houston school of esthetics and massage",0,12,0.00,6.3
"jays barber college",0,12,0.00,5.6
"kalon beauty institute",0,12,0.00,4.4
"mankind barbers",0,12,0.00,9.8
"master barbers institute",0,12,0.00,9.5
"mod and black odessa tx",0,12,0.00,8.8
"nail school in sugar land texas",0,12,0.00,15.2
"ogle hair school houston",0,12,0.00,7.1
"shear genius barber school",0,12,0.00,3.1
"sugar land cosmetology school",0,12,0.00,10.7
"sugar land texas cosmetology schools",0,12,0.00,12.7
"texas college of cosmetology reviews",0,12,0.00,10.8
"texas fadez barber school",0,12,0.00,8.8
"the mans chair",0,12,0.00,10.8
"united beauty college carrollton tx",0,12,0.00,9.6
"what is the application fee for a mini salon license?",0,12,0.00,60.7
"william edge school",0,12,0.00,8.3
"ys academy cosmetology",0,12,0.00,7.0
"ys cosmetology academy",0,12,0.00,8.3
"premium barber academy",1,11,9.09,7.2
"abesfades",0,11,0.00,6.4
"baldwin beauty school",0,11,0.00,17.1
"barber school corpus christi",0,11,0.00,10.6
"barbering school el paso",0,11,0.00,46.1
"beauty pro university",0,11,0.00,8.8
"bella bonded amarillo",0,11,0.00,7.9
"belleza cantu",0,11,0.00,7.1
"champions barber and beauty academy reviews",0,11,0.00,9.5
"clarendon college childress tx",0,11,0.00,8.5
"clarendon college pampa",0,11,0.00,8.5
"clarendon cosmetology school amarillo tx",0,11,0.00,8.6
"collectiv academy (fort worth)",0,11,0.00,9.4
"cosmetology college el paso",0,11,0.00,43.7
"cosmetology school odessa tx",0,11,0.00,12.8
"cosmetology school sugar land",0,11,0.00,14.4
"cosmetology school sugar land texas",0,11,0.00,12.4
"cosmetology school waxahachie",0,11,0.00,9.2
"cosmetology schools in sugar land",0,11,0.00,14.9
"cosmetology schools sugar land",0,11,0.00,12.5
"cosmetology schools sugar land tx",0,11,0.00,14.5
"d luz beauty academy | esthetician school houston",0,11,0.00,7.5
"darly new face academy",0,11,0.00,7.8
"dfw skin institute reviews",0,11,0.00,10.9
"esthetician school katy",0,11,0.00,23.1
"eyes on me barber school",0,11,0.00,5.2
"glam studio salon",0,11,0.00,37.8
"hair academy",0,11,0.00,7.3
"hair school georgetown tx",0,11,0.00,7.9
"hair schools in sugar land texas",0,11,0.00,15.0
"immaculate cut",0,11,0.00,8.7
"laila's beauty studio reviews",0,11,0.00,9.5
"lonestar cosmetology",0,11,0.00,7.2
"nail tech schools in sugar land",0,11,0.00,11.8
"next top barber",0,11,0.00,4.6
"next up barber studio reviews",0,11,0.00,9.9
"nuvani institute eagle pass",0,11,0.00,7.9
"nuvani institute uvalde",0,11,0.00,7.2
"ogle san antonio",0,11,0.00,16.2
"ogle school - beauty and cosmetology (north houston - willowbrook) reviews",0,11,0.00,8.7
"r&c beauty college",0,11,0.00,4.6
"riverside barber school",0,11,0.00,8.2
"sleeping beauty lash institute salon llc",0,11,0.00,9.8
"sugar land cosmetology schools",0,11,0.00,15.2
"the salon professional academy whitehouse",0,11,0.00,8.9
"united beauty school",0,11,0.00,9.2
"bessemer beauty college",1,10,10.00,7.7
"mcc cosmetology",1,10,10.00,6.1
"a&m barber academy fort worth",0,10,0.00,10.4
"additional requirements for a mobile shop license include:",0,10,0.00,9.3
"alexander and broderick barbershop houston reviews",0,10,0.00,5.3
"american beauty school houston",0,10,0.00,11.2
"art of barber academy",0,10,0.00,10.9
"avenue five institute austin",0,10,0.00,15.3
"barber school brownsville tx",0,10,0.00,6.4
"beauty college arlington tx",0,10,0.00,25.0
"beauty school in sugar land",0,10,0.00,12.2
"beauty school sugar land tx",0,10,0.00,12.8
"beauty schools in sugar land texas",0,10,0.00,16.2
"big choice barber shop",0,10,0.00,7.5
"community barber school",0,10,0.00,9.3
"cosmetology colleges in sugar land texas",0,10,0.00,14.3
"cosmetology program groveton",0,10,0.00,11.3
"cosmetology school mesquite tx",0,10,0.00,12.0
"cosmetology school near me",0,10,0.00,6.6
"cosmetology schools in sugar land texas",0,10,0.00,13.7
"d lash architect reviews",0,10,0.00,7.0
"diamond beauty academy",0,10,0.00,6.2
"esthetician school sugar land texas",0,10,0.00,22.0
"esthetician school sugar land tx",0,10,0.00,24.7
"esti project",0,10,0.00,4.5
"franklin barber institute #2",0,10,0.00,16.1
"graham's barber college",0,10,0.00,8.7
"hair academy lubbock",0,10,0.00,6.4
"lbl beauty academy",0,10,0.00,8.2
"made men barbershop",0,10,0.00,1.0
"meraki institute of beauty and wellness",0,10,0.00,5.9
"milan plano",0,10,0.00,9.3
"modern barber and beauty institute reviews",0,10,0.00,8.9
"next top barber academy photos",0,10,0.00,8.8
"nuvani",0,10,0.00,12.6
"ogle denton",0,10,0.00,12.3
"ogle school - beauty and cosmetology (central dallas)",0,10,0.00,9.1
"olga beauty school",0,10,0.00,9.2
"requirements for cosmetology license in texas",0,10,0.00,44.2
"salon professional academy san antonio",0,10,0.00,14.9
"shimaa academy",0,10,0.00,7.3
"sol the barber",0,10,0.00,10.2
"state barber and cosmetology school",0,10,0.00,10.8
"the beauty pro university",0,10,0.00,9.1
"trendsetters",0,10,0.00,9.0
"williams edge school",0,10,0.00,6.8
"+1 (214) 821-0819",0,9,0.00,8.8
"360 beauty academy",0,9,0.00,7.9
"all about beauty academy photos",0,9,0.00,9.7
"an establishment that is attached to a residence must have an _________ that is separate and distinct from the residential entrance.",0,9,0.00,10.7
"aveda hair school austin",0,9,0.00,8.1
"aveda school houston",0,9,0.00,8.6
"barber college near me",0,9,0.00,4.9
"barber life academy",0,9,0.00,8.3
"barber school midland tx",0,9,0.00,8.8
"bau barber",0,9,0.00,10.3
"bau's barber shop houston reviews",0,9,0.00,6.3
"beauty kulture academy reviews",0,9,0.00,10.9
"bella beauty college",0,9,0.00,7.6
"boardroom galleria",0,9,0.00,7.1
"caballeros barber shop",0,9,0.00,9.3
"caprock school of cosmetology",0,9,0.00,8.4
"caviar lubbock",0,9,0.00,6.1
"color beauty school",0,9,0.00,5.6
"cosmetology school port arthur tx",0,9,0.00,10.0
"dacs academy",0,9,0.00,5.0
"dallas barber college arlington tx",0,9,0.00,8.9
"el pipo barber college",0,9,0.00,9.4
"elite cosmetology",0,9,0.00,11.1
"elles beauty academy",0,9,0.00,7.9
"empower health and aesthetic institute",0,9,0.00,8.3
"exposito school of hair design",0,9,0.00,6.6
"golden edge barbershop reviews",0,9,0.00,7.8
"hands on approach school of massage and spa",0,9,0.00,9.6
"houston barber shop online marketing",0,9,0.00,28.6
"lbl academy",0,9,0.00,8.6
"ll beauty institute",0,9,0.00,7.3
"makeup schools in sugar land",0,9,0.00,22.2
"master barber institute",0,9,0.00,9.1
"mid cities barber college",0,9,0.00,9.3
"monterrey barber shop telephone rd",0,9,0.00,8.1
"nuvani institute austin",0,9,0.00,8.1
"ogle school - beauty and cosmetology (san antonio)",0,9,0.00,10.4
"ogle school san antonio",0,9,0.00,12.3
"paul mitchell barber school san antonio",0,9,0.00,15.4
"paul mitchell school webster",0,9,0.00,12.9
"paul mitchell the school clear lake photos",0,9,0.00,9.8
"paul mitchell webster",0,9,0.00,10.6
"pearland beauty and barber college",0,9,0.00,8.9
"permian basin barber college",0,9,0.00,8.2
"ranger cosmetology",0,9,0.00,7.0
"remington beauty school",0,9,0.00,19.3
"remington cosmetology school",0,9,0.00,13.0
"swl institute",0,9,0.00,5.1
"the shimaa academy",0,9,0.00,7.6
"vogue cosmetology",0,9,0.00,9.9
"barber school",1,8,12.50,3.0
"amenti beauty academy",0,8,0.00,9.1
"barber college lancaster rd dallas tx",0,8,0.00,11.1
"barber school rosenberg tx",0,8,0.00,7.8
"beauty academy sugar land",0,8,0.00,16.5
"beauty school baytown",0,8,0.00,13.5
"bloom academy",0,8,0.00,8.0
"boardroom heights reviews",0,8,0.00,11.0
"boardroom vintage park",0,8,0.00,10.0
"boss nail academy wylie",0,8,0.00,9.8
"brazen beauty academy san antonio",0,8,0.00,6.9
"cosmetology school allen tx",0,8,0.00,11.1
"cosmetology school arlington tx",0,8,0.00,29.3
"cosmetology school georgetown tx",0,8,0.00,8.3
"cosmetology school whitehouse tx",0,8,0.00,8.0
"coursemax",0,8,0.00,7.0
"couture beauty academy",0,8,0.00,9.4
"dallas beauty and barber academy",0,8,0.00,6.8
"dapper g barber school",0,8,0.00,10.1
"elegance barber & styling academy",0,8,0.00,8.5
"enstyle beauty academy reviews",0,8,0.00,5.9
"esthetician school",0,8,0.00,5.4
"graduate america garland",0,8,0.00,9.0
"graham barber college",0,8,0.00,9.3
"how to become a nail tech in texas",0,8,0.00,71.4
"its academy of beauty",0,8,0.00,6.0
"jd cuts reviews",0,8,0.00,8.9
"lash habit academy",0,8,0.00,7.8
"man cave cutz",0,8,0.00,9.4
"milan institute san antonio south",0,8,0.00,9.4
"mod and black",0,8,0.00,10.0
"nail school",0,8,0.00,10.3
"paul mitchell san antonio",0,8,0.00,18.4
"quality barber college",0,8,0.00,7.1
"southern comfort barber shop",0,8,0.00,9.0
"sugar land beauty school",0,8,0.00,11.3
"tdlr cosmetology",0,8,0.00,31.3
"texas requirements for cosmetology license",0,8,0.00,37.9
"the argyle league reviews",0,8,0.00,6.1
"the lash room academy",0,8,0.00,7.0
"the strand institute of beauty & esthetics",0,8,0.00,8.5
"tri state school",0,8,0.00,6.3
"true lux barber",0,8,0.00,3.5
"university of cosmetology",0,8,0.00,44.0
"vogue college",0,8,0.00,5.6
"vogue college of cosmetology locations",0,8,0.00,11.8
"wild boars barbershop",0,8,0.00,9.0
"barber school round rock",1,7,14.29,9.7
"bgm science of beauty and business reviews",1,7,14.29,8.3
"2854 34th st lubbock tx",0,7,0.00,8.6
"360 degrees beauty academy #1",0,7,0.00,9.7
"360 degrees beauty academy #1 reviews",0,7,0.00,9.9
"a plus beauty academy",0,7,0.00,8.1
"alexander and broderick barbershop",0,7,0.00,6.3
"aveda arts",0,7,0.00,10.4
"aveda arts & sciences institute austin",0,7,0.00,9.0
"aveda cosmetology",0,7,0.00,23.4
"avenue 5 beauty school",0,7,0.00,17.3
"barber school garland tx",0,7,0.00,19.1
"beauty kulture academy",0,7,0.00,8.0
"beauty school whitehouse",0,7,0.00,10.3
"bellezza cantu skincare institute",0,7,0.00,8.3
"capelli beauty and barber college",0,7,0.00,6.9
"clarendon college cosmetology",0,7,0.00,8.6
"cosmetology school sugar land tx",0,7,0.00,13.1
"cosmetology school wichita falls",0,7,0.00,6.9
"cosmetology schools in midland texas",0,7,0.00,45.3
"dallas blends barber academy",0,7,0.00,13.7
"diamond beauty",0,7,0.00,5.7
"epcc cosmetology program",0,7,0.00,8.1
"esthetician school whitehouse",0,7,0.00,10.1
"fade em all barbershop",0,7,0.00,12.0
"fade fellas barber school",0,7,0.00,9.9
"faded culture academy",0,7,0.00,11.4
"flavous beauty academy reviews",0,7,0.00,11.3
"house of elegance",0,7,0.00,6.0
"kintanas",0,7,0.00,9.0
"lamar port arthur cosmetology",0,7,0.00,7.6
"laredo chi academy",0,7,0.00,9.3
"laredo chi academy reviews",0,7,0.00,11.0
"m&j beauty academy - escuela de cosmetologia dallas",0,7,0.00,4.1
"makeup artistry school in southlake",0,7,0.00,15.6
"milan institute houston",0,7,0.00,10.3
"mtb barber academy",0,7,0.00,6.6
"nail tech school tyler tx",0,7,0.00,11.9
"nuvani institute del rio tx",0,7,0.00,8.0
"oz barber and piercing academy photos",0,7,0.00,9.3
"ranger college cosmetology",0,7,0.00,11.0
"rio men",0,7,0.00,1.0
"riverside barber and beauty institute reviews",0,7,0.00,6.3
"salon professional academy whitehouse",0,7,0.00,10.1
"signature beauty school",0,7,0.00,5.0
"south plains cosmetology",0,7,0.00,9.0
"texas barber university",0,7,0.00,9.1
"texas beauty college",0,7,0.00,1.0
"texas cosmetology practical exam kit list",0,7,0.00,28.4
"the hair academy photos",0,7,0.00,5.6
"the pulse academy pittsburg tx",0,7,0.00,5.7
"top of the line barber school",0,7,0.00,7.7
"trendz academy",0,7,0.00,18.9
"v's barbershop eldridge",0,7,0.00,10.4
"vogue cosmetology school",0,7,0.00,12.0
"white house cosmetology room",0,7,0.00,7.0
"rm barber-cosmetology school lockhart",1,6,16.67,4.7
"691 e business 77 san benito tx 78586",0,6,0.00,7.3
"7765 9th ave port arthur tx",0,6,0.00,10.3
"advanced beauty academy",0,6,0.00,8.2
"aveda institute san antonio",0,6,0.00,18.5
"aveda school san antonio",0,6,0.00,17.7
"beauty college sugar land",0,6,0.00,14.7
"beauty school groveton",0,6,0.00,5.2
"bella college",0,6,0.00,11.0
"bison barbers",0,6,0.00,8.8
"boss beauty makeup academy reviews",0,6,0.00,19.7
"caesars barber shop",0,6,0.00,9.7
"charles and sues",0,6,0.00,8.2
"chi beauty school",0,6,0.00,8.3
"clutch city barbershop",0,6,0.00,10.0
"coastal bend college pleasanton tx",0,6,0.00,10.2
"compassion school",0,6,0.00,3.0
"contucci baytown",0,6,0.00,7.2
"cosmetology epcc",0,6,0.00,13.8
"cosmetology school whitehouse",0,6,0.00,9.5
"cosmetology schools in odessa texas",0,6,0.00,43.0
"cosmetology training el paso",0,6,0.00,37.2
"cultural technical institute, llc (cti)",0,6,0.00,8.3
"dallas beauty academy",0,6,0.00,18.5
"dapper barber college",0,6,0.00,8.2
"duvalls school of cosmetology",0,6,0.00,12.3
"elite barber school",0,6,0.00,8.2
"epcc cosmetology program & salon",0,6,0.00,9.5
"esthetics school whitehouse",0,6,0.00,10.7
"frank phillips college cosmetology",0,6,0.00,10.8
"glam academy",0,6,0.00,23.8
"hair school whitehouse",0,6,0.00,6.2
"hill college cosmetology",0,6,0.00,9.0
"house of fades cypress",0,6,0.00,8.8
"l and l beauty",0,6,0.00,9.8
"l makeup southlake",0,6,0.00,13.2
"l&l beauty",0,6,0.00,12.8
"lashing out ink academy reviews",0,6,0.00,4.7
"learn lash repeat",0,6,0.00,9.7
"lit cosmetology",0,6,0.00,8.5
"m&j beauty academy",0,6,0.00,7.8
"milan denton",0,6,0.00,10.8
"milan institute of cosmetology san antonio south reviews",0,6,0.00,11.3
"missouri city beauty school",0,6,0.00,11.7
"mj beauty academy",0,6,0.00,1.0
"modern barber and beauty institute",0,6,0.00,16.8
"modern image institute",0,6,0.00,58.0
"moe better cuts",0,6,0.00,9.2
"montana barber institute",0,6,0.00,8.8
"nail school whitehouse",0,6,0.00,12.7
"nuvani institute - del rio del rio",0,6,0.00,8.8
"ogle fort worth",0,6,0.00,12.7
"ogle hair school",0,6,0.00,9.0
"ogle school - beauty and cosmetology (north houston - willowbrook)",0,6,0.00,10.3
"ogle school fort worth reviews",0,6,0.00,14.5
"oneals barber shop",0,6,0.00,5.8
