outcome,name,city,table,detail
"published","Milan Institute - Bakersfield Central","Bakersfield","agent_cosmetology_school_leads",""
"published","Milan Institute Fresno on N. Fresno Street","Fresno","agent_cosmetology_school_leads",""
"published","Milan Institute - Merced","Sacramento","agent_cosmetology_school_leads",""
"published","Milan Institute of Cosmetology - Vacaville","San Francisco","agent_cosmetology_school_leads",""
"published","Mixed Institute of Cosmetology & Barber","Sacramento","agent_cosmetology_school_leads",""
"published","MJ Barber & Beauty Academy","Moreno Valley","agent_cosmetology_school_leads",""
"published","Modern Beauty Academy","Oxnard","agent_cosmetology_school_leads",""
"published","My-Le's Beauty & Barber College","Sacramento","agent_cosmetology_school_leads",""
"published","National Cosmetology Beauty School","San Francisco","agent_cosmetology_school_leads",""
"published","NY MAKEUP ACADEMY","San Jose","agent_cosmetology_school_leads",""
"published","Pacific Styling College","Anaheim","agent_cosmetology_school_leads",""
"published","Paris Beauty College","San Francisco","agent_cosmetology_school_leads",""
"published","Patty's Beauty Academy","Lancaster","agent_cosmetology_school_leads",""
"published","Paul Mitchell The School Costa Mesa","Long Beach","agent_cosmetology_school_leads",""
"published","Paul Mitchell The School Fresno","Fresno","agent_cosmetology_school_leads",""
"published","Paul Mitchell The School Modesto","Modesto","agent_cosmetology_school_leads",""
"published","Paul Mitchell The School Sacramento","Elk Grove","agent_cosmetology_school_leads",""
"published","Paul Mitchell the School - Sacramento","Sacramento","agent_cosmetology_school_leads",""
"published","Paul Mitchell The School San Diego","San Diego","agent_cosmetology_school_leads",""
"published","Paul Mitchell The School San Jose","San Jose","agent_cosmetology_school_leads",""
"published","PhiAcademy in USA","Fresno","agent_cosmetology_school_leads",""
"published","PR MAKEUP ACADEMY","Sacramento","agent_cosmetology_school_leads",""
"published","Privé Academy","Bakersfield","agent_cosmetology_school_leads",""
"published","Professional Institute of Beauty PIB Escuela De Belleza","Los Angeles","agent_cosmetology_school_leads",""
"published","Redondo Beach Beauty College","Long Beach","agent_cosmetology_school_leads",""
"published","Riggins Urban Barber and Beauty College","Chula Vista","agent_cosmetology_school_leads",""
"published","Riverside City College Cosmetology Salon","Riverside","agent_cosmetology_school_leads",""
"published","SABA Beauty school","Irvine","agent_cosmetology_school_leads",""
"published","Saddleback Beauty Academy","Irvine","agent_cosmetology_school_leads",""
"published","Salon Success Academy","Riverside","agent_cosmetology_school_leads",""
"published","San Bernardino Beauty College","Riverside","agent_cosmetology_school_leads",""
"published","Santa Ana Beauty Academy","Long Beach","agent_cosmetology_school_leads",""
"published","Santa Clara Beauty College","San Jose","agent_cosmetology_school_leads",""
"published","Simply Divine Academy","Sacramento","agent_cosmetology_school_leads",""
"published","Specialty Academy","Modesto","agent_cosmetology_school_leads",""
"published","Sweet Success Sugaring Training","Huntington Beach","agent_cosmetology_school_leads",""
"published","Thanh Le College, School of Cosmetology","Long Beach","agent_cosmetology_school_leads",""
"published","The League XS Apprenticeship Academy of Cosmetology and Barbering","Fresno","agent_cosmetology_school_leads",""
"published","The Salon Professional Academy","San Jose","agent_cosmetology_school_leads",""
"published","TNT Agency","Rancho Cucamonga","agent_cosmetology_school_leads",""
"published","Topline Beauty College","Long Beach","agent_cosmetology_school_leads",""
"published","TVL PMU ACADEMY - TriVinh Ly Instructor - SoffBrows","Huntington Beach","agent_cosmetology_school_leads",""
"published","Valencia Lash Academy","Santa Clarita","agent_cosmetology_school_leads",""
"published","Vega Academy","Sacramento","agent_cosmetology_school_leads",""
"published","Vietnam Beauty College","Long Beach","agent_cosmetology_school_leads",""
"published","Wayne's College of Beauty Inc","Salinas","agent_cosmetology_school_leads",""
"failed","A+ Barber and Cosmo Academy","San Diego","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Barbercosmo","Santa Rosa","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Crown Chois School","Fremont","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Dreme academy","Elk Grove","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","ĒDUCŌ - a barber academy","San Jose","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Eminence Barber Academy","Riverside","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Ion Amigos School","Fresno","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Master Academy Barber School","Los Angeles","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","MTB Barber Academy","Garden Grove","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","MTB Barber Academy","Huntington Beach","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Precise Barber College","Los Angeles","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Premium Barber College","Fremont","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Pro Barber College","Anaheim","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Pro Barber College","Garden Grove","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Pro Barber College","Huntington Beach","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Pro Barber College","Long Beach","agent_barber_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Southern California Barbering Apprenticeship Council","Riverside","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","The Brothers and Sisters Barber Cosmo Academy","Oakland","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Tom Chu Barber College","San Jose","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Womack's Academy Barber & Cosmetology","San Francisco","agent_barber_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Academy For Salon Professionals","Los Angeles","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Academy of Makeup Artistry- Cammua Carlsbad","Oceanside","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 1)."
"failed","Adamis Beauty Academy","Glendale","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Advance Training MicroBlading . Founder Maggie Q","Garden Grove","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","American International Beauty College","Garden Grove","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Amy Beauty School","Riverside","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Angel's Beauty Academy","Santa Ana","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Ares Beauty Academy","San Diego","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Beauty Collaborative LLC","Garden Grove","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","BEAUTY GLAM ACADEMY","Garden Grove","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Beauty IQ Institute","San Diego","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Bellus Academy - Poway","San Diego","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Bridges Beauty College","Riverside","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","broadway beauty academy","Santa Ana","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","CEN Beauty Academy","Riverside","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","CharliesBellaStudio","Oxnard","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 2)."
"failed","Coquette Beauty Salon","Oakland","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","CRE8 Advanced School of Beauty","Los Angeles","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Dreamgirl Makeup Institute","San Francisco","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Eastbay Apprenticeship School Barber & Cosmetology","Fremont","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","EFX Artistry","Rancho Cucamonga","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Enjoli’s Nails","San Bernardino","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 1)."
"failed","Facing Beauty Studios","Irvine","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Five Beautiz Makeup Academy","San Bernardino","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","For3ign Beauty","Fresno","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Glam Lab Makeup Studios & Academy","San Francisco","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Golden Hands Beauty Academy","Sacramento","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Great Clips School","Riverside","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","GWC Cosmetology","Long Beach","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Hair by Jetzemani","Modesto","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Hilltop Beauty School","San Francisco","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","IMMA Makeup Academy","Oceanside","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Jc.blendz","San Bernardino","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","John Wesley International Barber & Beauty College","Los Angeles","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Kern County Cosmetology","Bakersfield","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","L A County Cosmetology","Long Beach","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","La Femme Estetica","San Jose","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Lancaster Beauty School","Lancaster","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Lawrence & Company College of Cosmetology","Fresno","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","LC Beauty College","Rancho Cucamonga","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Lyle's College-Beauty","Fresno","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Lynda's Braiding Academy","Irvine","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 1)."
"failed","Maiquela's Cosmetology Academy","Los Angeles","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 1)."
"failed","Makeup Stop Academy","Santa Ana","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","McQueen Aesthetics | skincare by Crosby","San Diego","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Milan Institute - Palm Desert","Sacramento","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Moler Cosmetology College","Oakland","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Monarch Beauty Academy","Santa Clarita","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","NanoGlow Academy","Rancho Cucamonga","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Nysa Artistry Beauty Aesthetics","Garden Grove","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","parasicologo","San Jose","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Rj,s Beauty Academy","Garden Grove","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Rj,s Beauty Academy","Santa Ana","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","RT7 Beauty College","Santa Ana","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 2)."
"failed","San Diego Cosmetology Apprenticeship Program","San Diego","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","San Francisco Institute of Esthetics and Cosmetology","San Francisco","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Satin’s Beauty Academy","San Bernardino","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 1)."
"failed","Savvy Beauty Academy","Los Angeles","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","SCALA","Santa Rosa","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Semiramis Beauty & Barbering Academy","Los Angeles","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","Sofia PMU Micro Pigmentation Academy","Glendale","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Straight Perm Beauty School. Education. Training","Los Angeles","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","The Salon and Spa at Skyline College","San Francisco","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 1)."
"failed","TNN BEAUTY APPRENDICESHIP P&E ACADEMY","Riverside","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","TNN Beauty Barber Cosmetology Apprenticeship","Sacramento","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 1)."
"failed","Trends Academy","Santa Rosa","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 3)."
"failed","Venu Edu - Sacramento - Hair Styling Courses & Training","Sacramento","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Venu Edu - San Diego - Hair Styling Courses & Training","San Diego","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Virago Skin & Body Studio","Sacramento","agent_cosmetology_school_leads","Publish failed: Missing required field(s): phone. This candidate isn't complete enough to publish."
"failed","Wham hair Studio","Sacramento","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
"failed","Worth It Beauty Academy","Los Angeles","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 4)."
"failed","yourSDbesti","Chula Vista","agent_cosmetology_school_leads","Publish failed: Requires at least 5 real photos to publish (currently has 0)."
