School,Contact,City,Status,Google_PlaceID,Google_Name,Google_Address,Latitude,Longitude,Telephone,Website,Rating,TotalReviews,Types,BusinessStatus,OpeningHours
"Graham's Barber College","Carol Frasure","Dallas, TX","Accredited","ChIJz3Y495KYToYRt6eCXjdvcZc","Graham's Barber College","3016 Al Lipscomb Way, Dallas, TX 75215, USA","32.773986799999996","-96.76839439999999","(214) 421-8040","http://grahamsbarbercollege.com/","4.9","25","school | educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 9:00 AM – 4:00 PM; Tuesday: 9:00 AM – 4:00 PM; Wednesday: 9:00 AM – 4:00 PM; Thursday: 9:00 AM – 4:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed"
"Houston Barber School","Jessica Breda","Houston, TX","Accredited","ChIJ3T0mtyLKQIYRQ5TIKlbqgvY","Houston Barber School","313 Rankin Rd, Houston, TX 77073, USA","29.966421499999996","-95.41559629999999","(281) 821-0681","http://htxbarberschool.com/","4.3","102","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 1:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed"
"Houston Barber School","Jessica Breda","Houston, TX","Additional Location Accreditation","ChIJ3T0mtyLKQIYRQ5TIKlbqgvY","Houston Barber School","313 Rankin Rd, Houston, TX 77073, USA","29.966421499999996","-95.41559629999999","(281) 821-0681","http://htxbarberschool.com/","4.3","102","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 1:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed"
"Houston Barber School","Jessica Breda","Houston, TX","Additional Location Accreditation","ChIJ3T0mtyLKQIYRQ5TIKlbqgvY","Houston Barber School","313 Rankin Rd, Houston, TX 77073, USA","29.966421499999996","-95.41559629999999","(281) 821-0681","http://htxbarberschool.com/","4.3","102","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 1:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed"
"Houston Barber School","Jessica Breda","Humble, TX","Additional Location Accreditation","ChIJHYFCBKC1QIYRpAT3UYxHRok","Houston Barber School","7715 Farm to Market 1960 Bypass Rd W, Humble, TX 77338, USA","30.0049812","-95.310313","(281) 821-0681","https://htxbarberschool.com/","4.5","37","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: Closed"
"Instituto de Belleza y Arte Barbering","Leticia Clavijo","McAllen, TX","Accredited","ChIJAVUOQEanZYYRbWPpqF-Q8RE","Instituto De Belleza Y Arte","505 S 12th St, McAllen, TX 78501, USA","26.198915799999998","-98.23276609999999","(956) 627-2862","https://www.institutodebellezayarte.com/","4.6","67","point_of_interest | educational_institution | establishment","OPERATIONAL","Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 10:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed"
"Mei Barber School","Martin Paredes","Brownsville, TX","Accredited","ChIJoQYgQ2iUb4YRiV5LJIR1UUg","Mei Barber School","205 E Elizabeth St, Brownsville, TX 78520, USA","25.9079002","-97.5050031","(956) 546-9999","http://www.meibarberschool.com/","4.7","38","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 8:00 AM – 10:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: Closed"
"Michael's Barber & Hair Stylist Academy","Janet Brown","Irving, TX","Accredited","ChIJt4XaPrODToYREiPjD7CuX6Y","Michael's Barber & Hairstylists Academy","2413 W Airport Fwy, Irving, TX 75062, USA","32.8386153","-96.9782814","(972) 594-7700","https://www.michaelsbarberacademy.com/","4.1","100","hair_salon | barber_shop | hair_care | educational_institution | point_of_interest | service | health | establishment","OPERATIONAL","Monday: Closed; Tuesday: 11:30 AM – 5:00 PM; Wednesday: 11:30 AM – 5:00 PM; Thursday: 11:30 AM – 5:00 PM; Friday: 10:30 AM – 5:00 PM; Saturday: 9:30 AM – 3:00 PM; Sunday: Closed"
"Mid Cities Barber College","Ramiro Cano","Grand Prairie, TX","Accredited","ChIJiQLRXweGToYR6bf4Vq-tHZ4","Mid Cities Barber College","2345 SW 3rd St # 101, Grand Prairie, TX 75051, USA","32.7103187","-97.0069489","(972) 642-1892","http://www.midcitiesbarbercollege.edu/","4.1","74","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 10:00 AM – 5:30 PM; Wednesday: 10:00 AM – 5:30 PM; Thursday: 10:00 AM – 5:30 PM; Friday: 10:00 AM – 5:30 PM; Saturday: 8:00 AM – 3:30 PM; Sunday: Closed"
"Milan Institute of Cosmetology","Gary Yasuda","San Antonio, TX","Additional Location Accreditation","ChIJ8XSfX2tYXIYR4SiQme2baAg","Milan Institute of Cosmetology - San Antonio South","605 SW Military Dr, San Antonio, TX 78221, USA","29.358225899999997","-98.50069839999999","(210) 922-5900","https://milaninstitute.edu/locations/san-antonio-texas-south/","4.8","1267","beauty_salon | university | educational_institution | service | point_of_interest | establishment","OPERATIONAL","Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed"
"Milan Institute of Cosmetology","Gary Yasuda","El Paso, TX","Additional Location Accreditation","ChIJCSZYQYBE54YRPgW0D6ds1bQ","Milan Institute of Cosmetology - El Paso","1580 George Dieter Dr Suite 207, El Paso, TX 79936, USA","31.7490899","-106.30011569999999","(915) 213-0470","https://milaninstitute.edu/locations/el-paso-texas/","4.7","1222","beauty_salon | university | educational_institution | service | point_of_interest | establishment","OPERATIONAL","Monday: 8:00 AM – 9:30 PM; Tuesday: 8:00 AM – 9:30 PM; Wednesday: 8:00 AM – 9:30 PM; Thursday: 8:00 AM – 9:30 PM; Friday: 8:00 AM – 9:30 PM; Saturday: 8:00 AM – 2:30 PM; Sunday: Closed"
"Milan Institute of Cosmetology","Gary Yasuda","Plano, TX","Provisional Additional Location Accreditation","ChIJ5TQCw8AZTIYRozxBgBT8OTE","Milan Institute of Cosmetology - Plano","3033 W Parker Rd #205, Plano, TX 75023, USA","33.0425618","-96.7522673","(972) 881-0577","https://milaninstitute.edu/locations/plano-texas/","3.5","45","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 10:00 AM – 3:30 PM; Wednesday: 10:00 AM – 3:30 PM; Thursday: 10:00 AM – 3:30 PM; Friday: 10:00 AM – 3:30 PM; Saturday: Closed; Sunday: Closed"
"Milan Institute of Cosmetology","Gary Yasuda","Denton, TX","Provisional Additional Location Accreditation","ChIJFyl-VybLTYYRQ6AfAUuqmOg","Milan Institute of Cosmetology Denton","2215 S Loop 288, Denton, TX 76205, USA","33.1883406","-97.1045646","(469) 943-2946","https://milaninstitute.edu/locations/denton-texas/","4.6","95","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed"
"Milan Institute of Cosmetology","Gary Yasuda","El Paso, TX","Provisional Additional Location Accreditation","ChIJCSZYQYBE54YRPgW0D6ds1bQ","Milan Institute of Cosmetology - El Paso","1580 George Dieter Dr Suite 207, El Paso, TX 79936, USA","31.7490899","-106.30011569999999","(915) 213-0470","https://milaninstitute.edu/locations/el-paso-texas/","4.7","1222","beauty_salon | university | service | point_of_interest | educational_institution | establishment","OPERATIONAL","Monday: 8:00 AM – 9:30 PM; Tuesday: 8:00 AM – 9:30 PM; Wednesday: 8:00 AM – 9:30 PM; Thursday: 8:00 AM – 9:30 PM; Friday: 8:00 AM – 9:30 PM; Saturday: 8:00 AM – 2:30 PM; Sunday: Closed"
"Mission Beauty Institute","Mong Cam Huynh","Mission, TX","Accredited","ChIJrVf9gneoZYYRFYXVrPWkDDY","Mission Barber and Beauty Institute","1123 E 9th St Suite 10B, Mission, TX 78572, USA","26.2136982","-98.3120045","(956) 584-5816","http://www.missionbarberandbeautyinstitute.com/","4.5","58","educational_institution | point_of_interest | service | establishment","OPERATIONAL","Monday: 8:30 AM – 4:00 PM; Tuesday: 8:30 AM – 4:00 PM; Wednesday: 8:30 AM – 4:00 PM; Thursday: 8:30 AM – 4:00 PM; Friday: 8:30 AM – 2:30 PM; Saturday: Closed; Sunday: Closed"
"Modern Barber & Beauty Institute","Ramsey De La Cruz","College Station, TX","Accredited","ChIJIfXQ32GBRoYRbOhyAvkANEM","Modern Barber & Beauty Institute","425 Northpoint Crossing Suite 500, College Station, TX 77840, USA","30.628039100000002","-96.33554199999999","(979) 704-3033","http://modernbbi.com/","4.6","171","barber_shop | hair_salon | hair_care | university | health | service | point_of_interest | school | educational_institution | establishment","OPERATIONAL","Monday: Closed; Tuesday: 12:00 – 5:00 PM; Wednesday: 12:00 – 5:00 PM; Thursday: 12:00 – 5:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed"
"Natural Images Beauty College","Tamera Davenport","Clute, TX","Accreditation on Probation","ChIJFTf_a_lBQIYRcTBZfOARkVc","Natural Images Beauty College","236 Old Angleton Rd Suite B, Clute, TX 77531, USA","29.026344299999998","-95.40071479999999","(979) 265-6200","https://natural-images-bc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","4.9","492","hair_salon | skin_care_clinic | hair_care | medical_clinic | beauty_salon | health | service | educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 10:00 AM – 4:30 PM; Wednesday: 10:00 AM – 4:30 PM; Thursday: 10:00 AM – 4:30 PM; Friday: 10:00 AM – 4:30 PM; Saturday: 9:30 AM – 3:30 PM; Sunday: Closed"
"NeeCee's Barber College","Joyce Ayers","Abilene, TX","Accredited","ChIJ70HtE5aNVoYRzE-tRYG-V0g","NeeCee’s Barber & Cosmetology College Abilene","1813 Industrial Blvd, Abilene, TX 79602, USA","32.4009183","-99.74501219999999","(325) 673-7970","https://neeceescollege.com/","4.2","63","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 9:30 AM – 2:15 PM; Wednesday: 9:30 AM – 2:15 PM; Thursday: 9:30 AM – 2:15 PM; Friday: 9:30 AM – 2:15 PM; Saturday: 8:30 AM – 3:15 PM; Sunday: Closed"
"New Image Beauty and Barber School","Erlinda Campos","Harlingen, TX","Accredited","ChIJT06kocKBb4YR1XyPWRraSAg","New Image Beauty School","502 US-77 Frontage Rd, Harlingen, TX 78550, USA","26.199130399999998","-97.72030529999999","(956) 230-2242","http://newimagebeautyandbarberschool.com/","5","15","point_of_interest | educational_institution | establishment","OPERATIONAL","Monday: 10:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed"
"Ogle School Hair Skin Nails","John Blair","Denton, TX","Additional Location Accreditation","ChIJe-Dnxt_KTYYRD4eRdfSsnXg","Ogle School - Beauty and Cosmetology (Denton)","2324 San Jacinto Blvd #207, Denton, TX 76205, USA","33.1921985","-97.1132378","(940) 535-5642","https://www.ogleschool.edu/denton-texas/","4.8","1064","hair_salon | hair_care | university | beauty_salon | educational_institution | service | point_of_interest | establishment","OPERATIONAL","Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: Closed; Sunday: Closed"
"Ogle School Hair Skin Nails","John Blair","Arlington, TX","Accredited","ChIJ6Xu41uB8ToYR-l_q7umTj0Q","Ogle School - Beauty and Cosmetology (Arlington)","2200 W Park Row Dr, Pantego, TX 76013, USA","32.7207925","-97.1409123","(817) 460-8181","https://www.ogleschool.edu/arlington-texas/","4.7","1151","beauty_salon | educational_institution | service | point_of_interest | establishment","OPERATIONAL","Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: Closed; Sunday: Closed"
"Paul Mitchell The School Austin","Lori Noble","Austin, TX","Accredited","ChIJCXWtllHORIYR5Z4dsviNWWk","Paul Mitchell the School Austin","9503 Research Blvd Bldg 3 suite 310, Austin, TX 78759, USA","30.386583699999996","-97.7406178","(512) 251-1644","https://paulmitchell.edu/austin?utm_source=gbp_listing&utm_medium=organic","4.3","430","barber_shop | skin_care_clinic | hair_salon | massage_spa | spa | massage | medical_clinic | hair_care | beauty_salon | educational_institution | health | service | point_of_interest | establishment","OPERATIONAL","Monday: 9:00 AM – 5:00 PM; Tuesday: 9:30 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 10:00 PM; Friday: 9:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed"
"Premier Barber School","Antoinette Williams","Houston, TX","Accredited","ChIJjQJDWDLPQIYRZK06an0n98c","Premier Barber School","8795 Antoine Dr, Houston, TX 77088, USA","29.8928768","-95.4806177","(346) 754-5786","http://www.premierbarberschool.com/","4.6","61","point_of_interest | educational_institution | establishment","OPERATIONAL","Monday: Closed; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 8:30 AM – 4:00 PM; Sunday: Closed"
"Quality Barber College","Monica Freeman","Houston, TX","Accredited","ChIJ_Y6G68_rQIYRGmOyxgvVF7s","Quality Barber College","12363 S Main St, Houston, TX 77035, USA","29.6461755","-95.4605299","(713) 900-4722","https://qualitybarbercollege.com/","4.8","191","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 10:00 AM – 7:45 PM; Wednesday: 10:00 AM – 7:45 PM; Thursday: 10:00 AM – 7:45 PM; Friday: 10:00 AM – 4:45 PM; Saturday: 9:00 AM – 2:45 PM; Sunday: Closed"
"Riverside Barber & Beauty Institute","Alexander Alvarado","Fort Worth, TX","Accredited","ChIJYY4rJIRxToYRjpuGeijb98Q","Riverside Barber & Beauty Institute","707 N Riverside Dr, Fort Worth, TX 76111, USA","32.773548399999996","-97.3019417","(817) 386-9719","http://rbbitx.com/","4.9","248","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 10:00 AM – 8:00 PM; Tuesday: 10:00 AM – 8:00 PM; Wednesday: 10:00 AM – 8:00 PM; Thursday: 10:00 AM – 8:00 PM; Friday: 10:00 AM – 8:00 PM; Saturday: 9:00 AM – 2:00 PM; Sunday: Closed"
"South Post Oak Barber College","Charles Ahaiwe","Houston, TX","Accredited","ChIJQbXaps_rQIYRyADJY4io81o","South Post Oak Barber College","14217 S Post Oak Rd, Houston, TX 77085, USA","29.6206179","-95.4646071","(832) 649-5992","https://southpostoakbarbercollege.com/","4.3","29","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 10:00 AM – 3:30 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed"
"The Professional Cosmetology Academy","Adam Chavana","Laredo, TX","Accredited","ChIJ4QehQf0hYYYRL9nDz1Xb7XM","The Professional Cosmetology Academy","3020 N Meadow Ave, Laredo, TX 78040, USA","27.5237935","-99.4808005","(956) 744-6139","http://www.tpcalaredo.com/","4.7","159","barber_shop | hair_salon | nail_salon | spa | hair_care | beauty_salon | educational_institution | health | service | point_of_interest | establishment","OPERATIONAL","Monday: Closed; Tuesday: Closed; Wednesday: 9:15 AM – 5:00 PM; Thursday: 9:15 AM – 5:00 PM; Friday: 9:15 AM – 5:00 PM; Saturday: 9:15 AM – 5:00 PM; Sunday: Closed"
"The Strand Institute of Beauty & Esthetics","Bobbi Wagoner","Corpus Christi, TX","Accredited","ChIJe54Bys1aaIYRYJfpEMcyj2o","The Strand Institute of Beauty & Esthetics","2141 Tuloso Rd, Corpus Christi, TX 78409, USA","27.822042300000003","-97.52432209999999","(361) 643-2373","https://www.thestrandinstitute.edu/","4.8","58","point_of_interest | educational_institution | establishment","OPERATIONAL","Monday: Closed; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed"
"Total Transformation Institute of Cosmetology","Krishna George","San Marcos, TX","Accredited","ChIJXTJipVOoXIYRrkFyYG0swKs","Total Transformation Institute","907 TX-80, San Marcos, TX 78666, USA","29.882747000000002","-97.9198649","(512) 392-8862","http://ttioc.edu/","4.3","133","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 8:30 AM – 11:00 PM; Tuesday: 8:30 AM – 11:00 PM; Wednesday: 8:30 AM – 11:00 PM; Thursday: 8:30 AM – 11:00 PM; Friday: 8:30 AM – 4:30 PM; Saturday: Closed; Sunday: Closed"
"UCAS University of Cosmetology Arts & Sciences","Lucinda Leyva","San Antonio, TX","Accredited","ChIJFaKW80GLXIYRvrqJEVxWnek","UCAS University of Cosmetology Arts & Sciences","4522 Fredericksburg Rd A-85, San Antonio, TX 78201, USA","29.492708200000003","-98.55081489999999","(210) 654-9734","https://ucastx.com/#contact_section","4","79","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 9:30 PM; Wednesday: 8:00 AM – 9:30 PM; Thursday: 8:00 AM – 9:30 PM; Friday: 8:00 AM – 9:30 PM; Saturday: 8:00 AM – 3:30 PM; Sunday: Closed"
"UCAS University of Cosmetology Arts & Sciences","Cindy Leyva","San Antonio, TX","Accredited","ChIJFaKW80GLXIYRvrqJEVxWnek","UCAS University of Cosmetology Arts & Sciences","4522 Fredericksburg Rd A-85, San Antonio, TX 78201, USA","29.492708200000003","-98.55081489999999","(210) 654-9734","https://ucastx.com/#contact_section","4","79","point_of_interest | educational_institution | establishment","OPERATIONAL","Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 9:30 PM; Wednesday: 8:00 AM – 9:30 PM; Thursday: 8:00 AM – 9:30 PM; Friday: 8:00 AM – 9:30 PM; Saturday: 8:00 AM – 3:30 PM; Sunday: Closed"
"Victoria Beauty & Barber College","Rhonda Floyd","Victoria, TX","Accredited","ChIJMaVjr9xmQoYRBlQxM6xo3MM","Victoria Beauty College","1508 N Laurent St, Victoria, TX 77901, USA","28.807933299999995","-96.99088599999999","(361) 575-4526","https://victoriabeautyandbarbercollege.com/","3.8","41","educational_institution | point_of_interest | establishment","OPERATIONAL","Monday: 9:15 AM – 2:30 PM; Tuesday: 9:15 AM – 2:30 PM; Wednesday: 9:15 AM – 2:30 PM; Thursday: 9:15 AM – 2:30 PM; Friday: 8:30 AM – 2:30 PM; Saturday: Closed; Sunday: Closed"
"Wade Gordon Hairdressing Academy","Sylvia Rodriguez","Amarillo, TX","Accredited","ChIJZ5MuplBQAYcRUw01blCM7g4","Wade Gordon Hairdressing Academy","2520 Paramount Blvd, Amarillo, TX 79109, USA","35.186501299999996","-101.8739207","(806) 331-9233","http://wadegordonacademy.com/","4.9","336","nail_salon | makeup_artist | barber_shop | hair_salon | hair_care | beauty_salon | health | point_of_interest | educational_institution | service | establishment","OPERATIONAL","Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed"
